
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     5.226
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.283
__module.model.layers.4.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
Multiply_44232                                                                                                0.000
Clamp_44234                                                                                                   0.000
Convert_44235                                                                                                 0.218
Convert_44236                                                                                                 0.234
__module.model.layers.4.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fc_output_0                              0.223
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.655
__module.model.layers.4/aten::add/Add_1                                                                       0.057
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.052
Multiply_44241                                                                                                0.047
Clamp_44243                                                                                                   0.000
Convert_44244                                                                                                 0.057
Convert_44245                                                                                                 0.063
