
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.13/aten::add/Add_1                                                                      0.066
__module.model.layers.14.input_layernorm/aten::mul/Multiply_1                                                 0.051
__module.model.layers.14.self_attn.q_proj/ov_ext::linear/MatMul                                               2.003
__module.model.layers.14.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.14.self_attn/aten::add/Add                                                              0.091
__module.model.layers.14.self_attn.k_proj/ov_ext::linear/MatMul                                               0.439
__module.model.layers.14.self_attn/aten::view/Reshape_1                                                       0.009
__module.model.layers.14.self_attn/aten::add/Add_1                                                            0.030
__module.model.layers.14.self_attn.v_proj/ov_ext::linear/MatMul                                               0.502
__module.model.layers.14.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.14.self_attn/aten::transpose/Transpose_2                                                0.017
__module.model.layers.14.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.878
__module.model.layers.14.self_attn/aten::transpose/Transpose_3                                                0.043
__module.model.layers.14.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.14.self_attn.o_proj/ov_ext::linear/MatMul                                               2.038
__module.model.layers.14/aten::add/Add                                                                        0.053
